DATE,USACPIALLMINMEI
2007-01-01,85.9666887466581000
2007-04-01,87.6149530765022333
2007-07-01,87.8567078873386000
2007-10-01,88.4815575816643000
2008-01-01,89.4873926061562000
2008-04-01,91.4519492975890667
2008-07-01,92.5155860831360667
2008-10-01,89.8987555041762000
2009-01-01,89.4513895627740000
2009-04-01,90.3998447368754000
2009-07-01,91.0137247539206000
2009-10-01,91.1968339823725667
2010-01-01,91.5629118023883000
2010-04-01,91.9979016976278667
2010-07-01,92.0836901994371333
2010-10-01,92.3552600305744667
2011-01-01,93.5233900240630000
2011-04-01,95.1537934691041667
2011-07-01,95.5425138281220333
2011-10-01,95.3972359225990333
2012-01-01,96.1562532082790000
2012-04-01,96.9519767217822333
2012-07-01,97.1646196967587667
2012-10-01,97.1996382819235000
2013-01-01,97.7734367858283000
2013-04-01,98.3023721223934667
2013-07-01,98.6739347810494667
2013-10-01,98.3985677539304667
2014-01-01,99.1475998205473333
2014-04-01,100.3184019149116667
2014-07-01,100.4334428894693333
2014-10-01,99.6266090617970667
2015-01-01,99.0854383159576667
2015-04-01,100.2800080444300667
2015-07-01,100.5434209360510000
2015-10-01,100.0911327035613667
2016-01-01,100.1558256721389333
2016-04-01,101.3300030518203333
2016-07-01,101.6671096728646667
2016-10-01,101.8933944259973333
2017-01-01,102.6991031585640000
2017-04-01,103.2572909678770000
2017-07-01,103.6668255863503333
2017-10-01,104.0510455649453333
2018-01-01,104.9730610040630000
2018-04-01,106.0575120490653333
2018-07-01,106.4046038891723333
2018-10-01,106.3434268428003333
2019-01-01,106.6998007175293333
2019-04-01,107.9786119420406667
2019-07-01,108.2746525917270000
2019-10-01,108.5052970883946667
2020-01-01,108.9603980586486667
2020-04-01,108.3719733183693333
2020-07-01,109.5981863466896667
2020-10-01,109.8502076503656667
2021-01-01,111.0290260473580000
2021-04-01,113.6268706464093333
2021-07-01,115.4460087954306667
2021-10-01,117.1982037856640000
