DATE,CE16OV
2007-01-01,146135.000000000000
2007-04-01,145850.666666666667
2007-07-01,145943.666666666667
2007-10-01,146271.333333333333
2008-01-01,146206.666666666667
2008-04-01,145925.666666666667
2008-07-01,145270.333333333333
2008-10-01,144090.333333333333
2009-01-01,141499.666666666667
2009-04-01,140304.333333333333
2009-07-01,139403.666666666667
2009-10-01,138368.000000000000
2010-01-01,138590.000000000000
2010-04-01,139226.333333333333
2010-07-01,139337.666666666667
2010-10-01,139154.666666666667
2011-01-01,139427.666666666667
2011-04-01,139531.333333333333
2011-07-01,139883.000000000000
2011-10-01,140698.666666666667
2012-01-01,141826.000000000000
2012-04-01,142165.333333333333
2012-07-01,142542.333333333333
2012-10-01,143364.666666666667
2013-01-01,143323.333333333333
2013-04-01,143838.666666666667
2013-07-01,144336.000000000000
2013-10-01,144264.666666666667
2014-01-01,145310.666666666667
2014-04-01,145913.000000000000
2014-07-01,146569.000000000000
2014-10-01,147482.000000000000
2015-01-01,148106.000000000000
2015-04-01,148714.666666666667
2015-07-01,148945.666666666667
2015-10-01,149612.333333333333
2016-01-01,150936.666666666667
2016-04-01,151143.000000000000
2016-07-01,151698.000000000000
2016-10-01,151968.000000000000
2017-01-01,152565.666666666667
2017-04-01,153214.000000000000
2017-07-01,153786.000000000000
2017-10-01,153772.666666666667
2018-01-01,155018.333333333333
2018-04-01,155596.666666666667
2018-07-01,155865.666666666667
2018-10-01,156555.666666666667
2019-01-01,156825.000000000000
2019-04-01,156911.666666666667
2019-07-01,157839.000000000000
2019-10-01,158544.000000000000
2020-01-01,157706.000000000000
2020-04-01,137573.333333333333
2020-07-01,146157.333333333333
2020-10-01,149787.666666666667
2021-01-01,150437.000000000000
2021-04-01,151473.666666666667
2021-07-01,153225.666666666667
2021-10-01,155177.666666666667
