DATE,INDPRO
2019-01-01,103.3023
2019-02-01,102.7280
2019-03-01,102.8635
2019-04-01,102.2543
2019-05-01,102.4519
2019-06-01,102.3840
2019-07-01,102.0568
2019-08-01,102.6882
2019-09-01,102.3143
2019-10-01,101.4645
2019-11-01,101.9876
2019-12-01,101.6179
2020-01-01,101.0918
2020-02-01,101.3247
2020-03-01,97.4477
2020-04-01,84.2018
2020-05-01,85.8434
2020-06-01,91.1622
2020-07-01,94.8887
2020-08-01,95.8924
2020-09-01,95.6019
2020-10-01,96.6454
2020-11-01,97.1609
2020-12-01,98.2854
2021-01-01,99.4076
2021-02-01,96.3966
2021-03-01,99.1618
2021-04-01,99.2416
2021-05-01,99.9226
2021-06-01,100.4704
2021-07-01,101.1676
2021-08-01,101.0927
2021-09-01,99.8606
2021-10-01,101.2169
2021-11-01,102.0298
2021-12-01,101.6188
2022-01-01,103.0309
2022-02-01,103.5811
