DATE,DSPIC96
2007-01-01,11439.4333333333333333
2007-04-01,11491.3333333333333333
2007-07-01,11511.2333333333333333
2007-10-01,11529.3333333333333333
2008-01-01,11548.7666666666666667
2008-04-01,11772.3000000000000000
2008-07-01,11537.4666666666666667
2008-10-01,11661.9666666666666667
2009-01-01,11636.7000000000000000
2009-04-01,11699.2666666666666667
2009-07-01,11557.3666666666666667
2009-10-01,11579.7000000000000000
2010-01-01,11667.4333333333333333
2010-04-01,11860.9000000000000000
2010-07-01,11936.6333333333333333
2010-10-01,11980.3333333333333333
2011-01-01,12094.9000000000000000
2011-04-01,12064.1333333333333333
2011-07-01,12117.7333333333333333
2011-10-01,12152.3000000000000000
2012-01-01,12375.6666666666666667
2012-04-01,12486.4333333333333333
2012-07-01,12404.7333333333333333
2012-10-01,12750.9000000000000000
2013-01-01,12248.6333333333333333
2013-04-01,12339.7666666666666667
2013-07-01,12387.2333333333333333
2013-10-01,12424.6666666666666667
2014-01-01,12580.4666666666666667
2014-04-01,12747.0666666666666667
2014-07-01,12890.0666666666666667
2014-10-01,13069.5333333333333333
2015-01-01,13243.4000000000000000
2015-04-01,13280.0666666666666667
2015-07-01,13357.000000000000
2015-10-01,13439.833333333333
2016-01-01,13541.633333333333
2016-04-01,13519.533333333333
2016-07-01,13584.766666666667
2016-10-01,13656.933333333333
2017-01-01,13795.233333333333
2017-04-01,13931.900000000000
2017-07-01,14015.533333333333
2017-10-01,14084.200000000000
2018-01-01,14253.266666666667
2018-04-01,14372.966666666667
2018-07-01,14491.800000000000
2018-10-01,14599.133333333333
2019-01-01,14729.633333333333
2019-04-01,14679.300000000000
2019-07-01,14763.133333333333
2019-10-01,14850.466666666667
2020-01-01,14963.100000000000
2020-04-01,16520.333333333333
2020-07-01,15783.066666666667
2020-10-01,15442.900000000000
2021-01-01,17218.766666666667
2021-04-01,15806.566666666667
2021-07-01,15640.500000000000
2021-10-01,15417.233333333333
