DATE,M1REAL
2019-01-01,1487.2
2019-02-01,1486.5
2019-03-01,1468.3
2019-04-01,1479.4
2019-05-01,1481.7
2019-06-01,1497.6
2019-07-01,1507.2
2019-08-01,1506.3
2019-09-01,1519.9
2019-10-01,1529.4
2019-11-01,1534.3
2019-12-01,1551.6
2020-01-01,1543.8
2020-02-01,1545.5
2020-03-01,1650.8
2020-04-01,1866.4
2020-05-01,6342.4
2020-06-01,6439.5
2020-07-01,6484.0
2020-08-01,6509.2
2020-09-01,6595.8
2020-10-01,6669.9
2020-11-01,6760.8
2020-12-01,6818.4
2021-01-01,6905.8
2021-02-01,6974.8
2021-03-01,7033.8
2021-04-01,7096.6
2021-05-01,7170.4
2021-06-01,7130.0
2021-07-01,7163.2
2021-08-01,7230.3
2021-09-01,7256.2
2021-10-01,7254.4
2021-11-01,7282.5
2021-12-01,7296.5
2022-01-01,7308.3
2022-02-01,7282.0
