DATE,UNEMPLOY
2019-01-01,6458
2019-02-01,6122
2019-03-01,6166
2019-04-01,5898
2019-05-01,5935
2019-06-01,5906
2019-07-01,5984
2019-08-01,5993
2019-09-01,5766
2019-10-01,5980
2019-11-01,5930
2019-12-01,5861
2020-01-01,5826
2020-02-01,5717
2020-03-01,7165
2020-04-01,23038
2020-05-01,20940
2020-06-01,17616
2020-07-01,16288
2020-08-01,13532
2020-09-01,12584
2020-10-01,11115
2020-11-01,10777
2020-12-01,10789
2021-01-01,10180
2021-02-01,9992
2021-03-01,9691
2021-04-01,9719
2021-05-01,9251
2021-06-01,9502
2021-07-01,8671
2021-08-01,8339
2021-09-01,7666
2021-10-01,7375
2021-11-01,6802
2021-12-01,6319
2022-01-01,6513
2022-02-01,6270
