DATE,CES0500000003
2019-01-01,27.60
2019-02-01,27.70
2019-03-01,27.80
2019-04-01,27.78
2019-05-01,27.85
2019-06-01,27.94
2019-07-01,28.03
2019-08-01,28.13
2019-09-01,28.15
2019-10-01,28.23
2019-11-01,28.35
2019-12-01,28.37
2020-01-01,28.43
2020-02-01,28.56
2020-03-01,28.79
2020-04-01,30.01
2020-05-01,29.71
2020-06-01,29.36
2020-07-01,29.41
2020-08-01,29.48
2020-09-01,29.51
2020-10-01,29.53
2020-11-01,29.65
2020-12-01,29.92
2021-01-01,29.93
2021-02-01,30.04
2021-03-01,30.06
2021-04-01,30.20
2021-05-01,30.36
2021-06-01,30.52
2021-07-01,30.67
2021-08-01,30.76
2021-09-01,30.92
2021-10-01,31.11
2021-11-01,31.23
2021-12-01,31.38
2022-01-01,31.57
2022-02-01,31.58
