DATE,WEI
2019-01-01,2.0725000000000000
2019-02-01,1.8425000000000000
2019-03-01,1.8560000000000000
2019-04-01,2.0150000000000000
2019-05-01,1.7425000000000000
2019-06-01,1.7480000000000000
2019-07-01,1.7125000000000000
2019-08-01,1.5280000000000000
2019-09-01,1.4275000000000000
2019-10-01,1.3525000000000000
2019-11-01,1.4720000000000000
2019-12-01,1.4525000000000000
2020-01-01,1.3575000000000000
2020-02-01,1.5480000000000000
2020-03-01,-0.90750000000000000000
2020-04-01,-8.4925000000000000
2020-05-01,-8.5000000000000000
2020-06-01,-6.4925000000000000
2020-07-01,-5.3350000000000000
2020-08-01,-3.9720000000000000
2020-09-01,-3.3275000000000000
2020-10-01,-2.2060000000000000
2020-11-01,-1.4375000000000000
2020-12-01,-0.68750000000000000000
2021-01-01,-0.36800000000000000000
2021-02-01,-0.63750000000000000000
2021-03-01,3.0125000000000000
2021-04-01,10.4575000000000000
2021-05-01,10.5440000000000000
2021-06-01,8.9725000000000000
2021-07-01,7.7940000000000000
2021-08-01,7.0575000000000000
2021-09-01,6.9300000000000000
2021-10-01,6.2980000000000000
2021-11-01,5.9025000000000000
2021-12-01,6.0700000000000000
2022-01-01,5.2000000000000000
2022-02-01,5.5875000000000000
